x,y,P,M
165.0,62.55905511811024,0.4757295780210549,1.039273145579144
170.0,62.637795275590555,0.4757295780210549,1.039273145579144
180.0,63.22834645669292,0.4757295780210549,1.039273145579144
190.0,64.33070866141733,0.4757295780210549,1.039273145579144
199.0,65.8267716535433,0.4757295780210549,1.039273145579144
210.0,67.99212598425197,0.46692528042637,1.0548110284775305
220.0,69.80314960629921,0.46692528042637,1.0548110284775305
230.0,71.81102362204724,0.46692528042637,1.0548110284775305
240.0,74.09448818897638,0.46692528042637,1.0548110284775305
250.0,75.98425196850394,0.41377250493802636,1.152118900363944
260.5,78.1496062992126,0.45919237329038665,1.0685794190866564
270.0,79.76377952755907,0.45919237329038665,1.0685794190866564
280.0,81.53543307086615,0.45919237329038665,1.0685794190866564
290.0,83.1496062992126,0.45919237329038665,1.0685794190866564
300.3,84.7244094488189,0.4087754647777006,1.1616289044750954
310.3,86.10236220472441,0.4521381402314802,1.0812443425151963
320.5,87.5984251968504,0.4521381402314802,1.0812443425151963
330.0,88.70078740157481,0.4521381402314802,1.0812443425151963
340.0,89.68503937007874,0.3469079936389601,1.286148672271019
350.0,90.70866141732284,0.40391240946198287,1.1709526389263025
360.0,91.69291338582677,0.4455693687083604,1.0931324724037952
369.8,92.67716535433071,0.4455693687083604,1.0931324724037952
380.0,93.46456692913387,0.4455693687083604,1.0931324724037952
390.0,94.37007874015748,0.3431875039064598,1.294105832810784
400.0,94.76377952755907,0.3991707499836553,1.1801110843123277
410.0,95.15748031496064,0.43937305584548536,1.104434371274405
420.0,95.55118110236221,0.43937305584548536,1.104434371274405
430.0,95.86614173228347,0.2900235093554574,1.4154645869461675
440.0,96.14173228346458,0.3395177264268741,1.3020153003979316
449.7,96.45669291338584,0.3945399639556941,1.1891217633297984
460.0,96.73228346456693,0.43347595697739927,1.1152732753460415
470.0,97.04724409448819,0.43347595697739927,1.1152732753460415
482.0,97.3228346456693,0.2869765720005106,1.4229214335496154
490.0,97.63779527559056,0.33589677310787885,1.309880226693223
499.0,97.71653543307087,0.39001114495348443,1.1979994981640718
510.0,98.03149606299213,0.42782721285301295,1.1257345858377168
520.0,98.03149606299213,0.26058066756842974,1.4903210286500506
530.0,98.22834645669292,0.28396126809510946,1.430362699816226
540.0,98.50393700787401,0.33232290542958276,1.3177035164509228
543.0,98.50393700787401,0.3855766715902915,1.2067569660403732
546.0,98.50393700787401,0.4223897124661408,1.135880508341363
549.0,98.50393700787401,0.2578282910759933,1.4976641830387536
552.0,98.50393700787401,0.28097697016879164,1.4377894606911785
555.0,98.50393700787401,0.3287945181045017,1.325487854602431
558.0,98.50393700787401,0.38122995944505556,1.215405115241872
561.0,98.50393700787401,0.26666101846270945,1.4743218303254182
564.0,98.50393700787401,0.2551023906038414,1.5050006752820073
567.0,98.50393700787401,0.27802308179024515,1.445202740096608
570.0,98.50393700787401,0.32531012496605083,1.3332357296302184
